arch,defense,budget,mean_asr_undef,mean_asr_def,mean_delta,ci_lo_95,ci_hi_95,n_boot,source
smallcnn,checksum,15,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b15_pbs_20260813T022437.csv
smallcnn,clip,15,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b15_pbs_20260813T022437.csv
smallcnn,checksum,15,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b15_pbs_20260813T022543.csv
smallcnn,clip,15,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b15_pbs_20260813T022543.csv
smallcnn,checksum,15,0.0012,0.0002,0.001,0.0007,0.0013,10000,pbs_sweep_b15_pbs_20260813T023152.csv
smallcnn,clip,15,0.0012,0.0013,-0.0001,-0.0004,0.0001,10000,pbs_sweep_b15_pbs_20260813T023152.csv
smallcnn,checksum,15,0.002,0.0002,0.0018,0.0017,0.0019,10000,pbs_sweep_b15_pbs_20260813T023315.csv
smallcnn,clip,15,0.002,0.0013,0.0007,0.0005,0.0008,10000,pbs_sweep_b15_pbs_20260813T023315.csv
smallcnn,checksum,15,0.002,0.0002,0.0018,0.0017,0.0019,10000,pbs_sweep_b15_pbs_20260813T024614.csv
smallcnn,clip,15,0.002,0.0013,0.0007,0.0005,0.0008,10000,pbs_sweep_b15_pbs_20260813T024614.csv
smallcnn,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_pbs_20260813T022428.csv
smallcnn,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_pbs_20260813T022428.csv
resnet20,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_pbs_20260813T022428.csv
resnet20,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_pbs_20260813T022428.csv
smallcnn,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_pbs_20260813T022540.csv
smallcnn,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_pbs_20260813T022540.csv
resnet20,checksum,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_pbs_20260813T022540.csv
resnet20,clip,20,0.0,0.0,0.0,0.0,0.0,10000,pbs_sweep_b20_pbs_20260813T022540.csv
smallcnn,checksum,20,0.0017,0.0002,0.0016,0.0012,0.0019,10000,pbs_sweep_b20_pbs_20260813T023129.csv
smallcnn,clip,20,0.0017,0.0018,-0.0001,-0.0004,0.0002,10000,pbs_sweep_b20_pbs_20260813T023129.csv
resnet20,checksum,20,0.0009,0.0001,0.0009,0.0007,0.0011,10000,pbs_sweep_b20_pbs_20260813T023129.csv
resnet20,clip,20,0.0009,0.001,-0.0001,-0.0002,0.0001,10000,pbs_sweep_b20_pbs_20260813T023129.csv
smallcnn,checksum,20,0.0027,0.0002,0.0025,0.0024,0.0026,10000,pbs_sweep_b20_pbs_20260813T023233.csv
smallcnn,clip,20,0.0027,0.0018,0.0008,0.0007,0.001,10000,pbs_sweep_b20_pbs_20260813T023233.csv
