byte_idx,poly_idx,n_coeffs_touched,coeff_indices
0,0,1,[0]
1,0,2,"[0, 1]"
2,0,1,[1]
3,0,1,[2]
4,0,2,"[2, 3]"
5,0,1,[3]
6,0,1,[4]
7,0,2,"[4, 5]"
8,0,1,[5]
9,0,1,[6]
10,0,2,"[6, 7]"
11,0,1,[7]
12,0,1,[8]
13,0,2,"[8, 9]"
14,0,1,[9]
15,0,1,[10]
16,0,2,"[10, 11]"
17,0,1,[11]
18,0,1,[12]
19,0,2,"[12, 13]"
20,0,1,[13]
21,0,1,[14]
22,0,2,"[14, 15]"
23,0,1,[15]
24,0,1,[16]
25,0,2,"[16, 17]"
26,0,1,[17]
27,0,1,[18]
28,0,2,"[18, 19]"
29,0,1,[19]
30,0,1,[20]
31,0,2,"[20, 21]"
32,0,1,[21]
33,0,1,[22]
34,0,2,"[22, 23]"
35,0,1,[23]
36,0,1,[24]
37,0,2,"[24, 25]"
38,0,1,[25]
39,0,1,[26]
40,0,2,"[26, 27]"
41,0,1,[27]
42,0,1,[28]
43,0,2,"[28, 29]"
44,0,1,[29]
45,0,1,[30]
46,0,2,"[30, 31]"
47,0,1,[31]
48,0,1,[32]
49,0,2,"[32, 33]"
50,0,1,[33]
51,0,1,[34]
52,0,2,"[34, 35]"
53,0,1,[35]
54,0,1,[36]
55,0,2,"[36, 37]"
56,0,1,[37]
57,0,1,[38]
58,0,2,"[38, 39]"
59,0,1,[39]
60,0,1,[40]
61,0,2,"[40, 41]"
62,0,1,[41]
63,0,1,[42]
64,0,2,"[42, 43]"
65,0,1,[43]
66,0,1,[44]
67,0,2,"[44, 45]"
68,0,1,[45]
69,0,1,[46]
70,0,2,"[46, 47]"
71,0,1,[47]
72,0,1,[48]
73,0,2,"[48, 49]"
74,0,1,[49]
75,0,1,[50]
76,0,2,"[50, 51]"
77,0,1,[51]
78,0,1,[52]
79,0,2,"[52, 53]"
80,0,1,[53]
81,0,1,[54]
82,0,2,"[54, 55]"
83,0,1,[55]
84,0,1,[56]
85,0,2,"[56, 57]"
86,0,1,[57]
87,0,1,[58]
88,0,2,"[58, 59]"
89,0,1,[59]
90,0,1,[60]
91,0,2,"[60, 61]"
92,0,1,[61]
93,0,1,[62]
94,0,2,"[62, 63]"
95,0,1,[63]
96,0,1,[64]
97,0,2,"[64, 65]"
98,0,1,[65]
99,0,1,[66]
100,0,2,"[66, 67]"
101,0,1,[67]
102,0,1,[68]
103,0,2,"[68, 69]"
104,0,1,[69]
105,0,1,[70]
106,0,2,"[70, 71]"
107,0,1,[71]
108,0,1,[72]
109,0,2,"[72, 73]"
110,0,1,[73]
111,0,1,[74]
112,0,2,"[74, 75]"
113,0,1,[75]
114,0,1,[76]
115,0,2,"[76, 77]"
116,0,1,[77]
117,0,1,[78]
118,0,2,"[78, 79]"
119,0,1,[79]
120,0,1,[80]
121,0,2,"[80, 81]"
122,0,1,[81]
123,0,1,[82]
124,0,2,"[82, 83]"
125,0,1,[83]
126,0,1,[84]
127,0,2,"[84, 85]"
128,0,1,[85]
129,0,1,[86]
130,0,2,"[86, 87]"
131,0,1,[87]
132,0,1,[88]
133,0,2,"[88, 89]"
134,0,1,[89]
135,0,1,[90]
136,0,2,"[90, 91]"
137,0,1,[91]
138,0,1,[92]
139,0,2,"[92, 93]"
140,0,1,[93]
141,0,1,[94]
142,0,2,"[94, 95]"
143,0,1,[95]
144,0,1,[96]
145,0,2,"[96, 97]"
146,0,1,[97]
147,0,1,[98]
148,0,2,"[98, 99]"
149,0,1,[99]
150,0,1,[100]
151,0,2,"[100, 101]"
152,0,1,[101]
153,0,1,[102]
154,0,2,"[102, 103]"
155,0,1,[103]
156,0,1,[104]
157,0,2,"[104, 105]"
158,0,1,[105]
159,0,1,[106]
160,0,2,"[106, 107]"
161,0,1,[107]
162,0,1,[108]
163,0,2,"[108, 109]"
164,0,1,[109]
165,0,1,[110]
