trial,region,byte_idx,bit_idx,outcome
0,pk,1176,2,validation_abort
1,pk,1372,7,validation_abort
2,packed_s,83,2,silent_wrong_output
3,packed_s,137,1,silent_wrong_output
4,pk,1473,4,validation_abort
5,pk,786,6,validation_abort
6,pk,1182,2,validation_abort
7,pk,1315,7,validation_abort
8,packed_s,180,7,silent_wrong_output
9,pk,1536,2,validation_abort
10,pk,979,1,validation_abort
11,packed_s,612,3,silent_wrong_output
12,packed_s,747,7,silent_wrong_output
13,pk,1423,6,validation_abort
14,pk,1290,2,validation_abort
15,pk,1332,6,validation_abort
16,pk,1427,3,validation_abort
17,pk,853,1,validation_abort
18,packed_s,163,5,silent_wrong_output
19,packed_s,273,7,silent_wrong_output
20,packed_s,200,3,silent_wrong_output
21,pk,1076,4,validation_abort
22,packed_s,506,1,silent_wrong_output
23,pk,1105,5,validation_abort
24,packed_s,576,3,silent_wrong_output
25,packed_s,656,0,silent_wrong_output
26,pk,1211,1,validation_abort
27,pk,938,2,validation_abort
28,pk,944,7,validation_abort
29,packed_s,460,4,silent_wrong_output
30,packed_s,579,3,silent_wrong_output
31,pk,1162,0,validation_abort
32,packed_s,659,4,silent_wrong_output
33,packed_s,291,4,silent_wrong_output
34,packed_s,90,6,silent_wrong_output
35,packed_s,633,3,silent_wrong_output
36,packed_s,326,3,silent_wrong_output
37,pk,1274,5,validation_abort
38,pk,1026,1,validation_abort
39,pk,953,4,validation_abort
40,pk,785,5,validation_abort
41,pk,1431,6,validation_abort
42,pk,1291,3,validation_abort
43,pk,1089,0,validation_abort
44,packed_s,629,2,silent_wrong_output
45,pk,1353,4,validation_abort
46,pk,943,0,validation_abort
47,pk,1202,6,validation_abort
48,packed_s,383,4,silent_wrong_output
49,packed_s,654,4,silent_wrong_output
50,pk,1339,6,validation_abort
51,pk,1515,2,validation_abort
52,pk,973,4,validation_abort
53,packed_s,520,5,silent_wrong_output
54,packed_s,232,4,silent_wrong_output
55,pk,1350,6,validation_abort
56,pk,1084,0,validation_abort
57,pk,1423,3,validation_abort
58,packed_s,436,7,silent_wrong_output
59,pk,1364,6,validation_abort
60,packed_s,302,0,silent_wrong_output
61,packed_s,578,6,silent_wrong_output
62,pk,1221,5,validation_abort
63,pk,1502,7,validation_abort
64,pk,1456,4,validation_abort
65,packed_s,456,4,silent_wrong_output
66,pk,971,5,validation_abort
67,packed_s,429,1,silent_wrong_output
68,pk,1202,6,validation_abort
69,pk,1308,4,validation_abort
70,packed_s,246,5,silent_wrong_output
71,packed_s,361,4,silent_wrong_output
72,pk,1248,0,validation_abort
73,pk,1394,2,validation_abort
74,pk,1066,4,validation_abort
75,packed_s,155,1,silent_wrong_output
76,pk,1145,7,validation_abort
77,pk,1275,4,validation_abort
78,packed_s,146,7,silent_wrong_output
79,pk,1478,0,validation_abort
80,pk,768,0,validation_abort
81,packed_s,30,1,silent_wrong_output
82,z,1620,6,no_effect
83,packed_s,424,0,silent_wrong_output
84,pk,906,7,validation_abort
85,packed_s,714,3,silent_wrong_output
86,pk,915,1,validation_abort
87,pk,783,6,validation_abort
88,packed_s,721,5,silent_wrong_output
89,pk,968,6,validation_abort
90,packed_s,74,5,silent_wrong_output
91,packed_s,273,7,silent_wrong_output
92,pk,1535,0,validation_abort
93,z,1620,4,no_effect
94,packed_s,747,6,silent_wrong_output
95,pk,814,7,validation_abort
96,pk,1418,5,validation_abort
97,pk,843,3,validation_abort
98,pk,1356,6,validation_abort
99,pk,1374,4,validation_abort
100,pk,867,4,validation_abort
101,pk,1325,2,validation_abort
102,packed_s,416,4,silent_wrong_output
103,packed_s,58,1,silent_wrong_output
104,pk,1041,5,validation_abort
105,pk,1561,7,validation_abort
