trial,region,byte_idx,bit_idx,outcome
0,pk,2337,2,validation_abort
1,pk,2720,7,validation_abort
2,packed_s,167,2,silent_wrong_output
3,packed_s,275,1,silent_wrong_output
4,pk,2918,4,validation_abort
5,pk,1571,6,validation_abort
6,pk,2347,2,validation_abort
7,pk,2608,7,validation_abort
8,packed_s,360,7,silent_wrong_output
9,pk,3042,2,validation_abort
10,pk,1949,1,validation_abort
11,packed_s,1224,3,silent_wrong_output
12,packed_s,1494,7,silent_wrong_output
13,pk,2821,6,validation_abort
14,pk,2560,2,validation_abort
15,pk,2642,6,validation_abort
16,pk,2827,3,validation_abort
17,pk,1704,1,validation_abort
18,packed_s,327,5,silent_wrong_output
19,packed_s,547,7,silent_wrong_output
20,packed_s,401,3,silent_wrong_output
21,pk,2141,4,validation_abort
22,packed_s,1013,1,silent_wrong_output
23,pk,2198,5,validation_abort
24,packed_s,1153,3,silent_wrong_output
25,packed_s,1312,0,silent_wrong_output
26,pk,2405,1,validation_abort
27,pk,1870,2,validation_abort
28,pk,1882,7,validation_abort
29,packed_s,921,4,silent_wrong_output
30,packed_s,1158,3,silent_wrong_output
31,pk,2309,0,validation_abort
32,packed_s,1319,4,silent_wrong_output
33,packed_s,583,4,silent_wrong_output
34,packed_s,181,6,silent_wrong_output
35,packed_s,1267,3,silent_wrong_output
36,packed_s,652,3,silent_wrong_output
37,pk,2528,5,validation_abort
38,pk,2042,1,validation_abort
39,pk,1899,4,validation_abort
40,pk,1569,5,validation_abort
41,pk,2835,6,validation_abort
42,pk,2562,3,validation_abort
43,pk,2165,0,validation_abort
44,packed_s,1258,2,silent_wrong_output
45,pk,2683,4,validation_abort
46,pk,1880,0,validation_abort
47,pk,2388,6,validation_abort
48,packed_s,767,4,silent_wrong_output
49,packed_s,1308,4,silent_wrong_output
50,pk,2656,6,validation_abort
51,pk,3001,2,validation_abort
52,pk,1938,4,validation_abort
53,packed_s,1041,5,silent_wrong_output
54,packed_s,465,4,silent_wrong_output
55,pk,2676,6,validation_abort
56,pk,2157,0,validation_abort
57,pk,2821,3,validation_abort
58,packed_s,872,7,silent_wrong_output
59,pk,2705,6,validation_abort
60,packed_s,604,0,silent_wrong_output
61,packed_s,1157,6,silent_wrong_output
62,pk,2425,5,validation_abort
63,pk,2975,7,validation_abort
64,pk,2884,4,validation_abort
65,packed_s,913,4,silent_wrong_output
66,pk,1935,5,validation_abort
67,packed_s,858,1,silent_wrong_output
68,packed_s,834,6,silent_wrong_output
69,pk,2595,4,validation_abort
70,packed_s,492,5,silent_wrong_output
71,packed_s,723,4,silent_wrong_output
72,pk,2477,0,validation_abort
73,pk,2763,2,validation_abort
74,pk,2121,4,validation_abort
75,packed_s,310,1,silent_wrong_output
76,pk,2275,7,validation_abort
77,pk,2531,4,validation_abort
78,packed_s,293,7,silent_wrong_output
79,pk,2928,0,validation_abort
80,pk,1537,0,validation_abort
81,packed_s,61,1,silent_wrong_output
82,z,3156,6,no_effect
83,packed_s,848,0,silent_wrong_output
84,pk,1806,7,validation_abort
85,packed_s,1428,3,silent_wrong_output
86,pk,1825,1,validation_abort
87,pk,1565,6,validation_abort
88,packed_s,1442,5,silent_wrong_output
89,pk,1929,6,validation_abort
90,packed_s,148,5,silent_wrong_output
91,packed_s,546,7,silent_wrong_output
92,pk,3041,0,validation_abort
93,H_pk,3124,4,validation_abort
94,packed_s,1495,6,silent_wrong_output
95,pk,1626,7,validation_abort
96,pk,2811,5,validation_abort
97,pk,1683,3,validation_abort
98,pk,2689,6,validation_abort
99,pk,2723,4,validation_abort
100,pk,1730,4,validation_abort
101,pk,2628,2,validation_abort
102,packed_s,832,4,silent_wrong_output
103,packed_s,116,1,silent_wrong_output
104,pk,2071,5,validation_abort
105,pk,3090,7,validation_abort
106,H_pk,3117,0,validation_abort
107,pk,2963,3,validation_abort
108,pk,3035,5,validation_abort
109,pk,2053,6,validation_abort
110,pk,2531,4,validation_abort
111,packed_s,1111,1,silent_wrong_output
112,packed_s,1190,6,silent_wrong_output
113,packed_s,1164,1,silent_wrong_output
114,pk,2937,1,validation_abort
115,pk,1915,4,validation_abort
116,packed_s,773,7,silent_wrong_output
117,pk,1960,1,validation_abort
118,pk,2538,7,validation_abort
119,pk,2467,5,validation_abort
120,pk,1923,0,validation_abort
121,pk,2131,2,validation_abort
122,pk,1808,1,validation_abort
123,pk,2465,0,validation_abort
124,pk,2838,6,validation_abort
125,pk,1700,3,validation_abort
126,packed_s,142,7,silent_wrong_output
127,packed_s,929,1,silent_wrong_output
128,pk,2691,3,validation_abort
129,packed_s,287,1,silent_wrong_output
130,packed_s,569,0,silent_wrong_output
131,pk,2016,4,validation_abort
132,packed_s,245,6,silent_wrong_output
133,pk,1599,4,validation_abort
134,pk,2174,4,validation_abort
135,pk,2915,2,validation_abort
136,packed_s,951,0,silent_wrong_output
137,pk,1904,2,validation_abort
138,pk,2663,6,validation_abort
139,packed_s,1175,4,silent_wrong_output
140,pk,2638,4,validation_abort
141,pk,2723,7,validation_abort
142,packed_s,811,0,silent_wrong_output
143,packed_s,1036,7,silent_wrong_output
144,pk,2029,0,validation_abort
145,pk,1630,2,validation_abort
146,pk,2280,3,validation_abort
147,H_pk,3118,6,validation_abort
