trial,byte_idx,bit_idx,original_outcome,defended_outcome
2,83,2,silent_wrong_output,integrity_check_abort
3,137,1,silent_wrong_output,integrity_check_abort
8,180,7,silent_wrong_output,integrity_check_abort
11,612,3,silent_wrong_output,integrity_check_abort
12,747,7,silent_wrong_output,integrity_check_abort
18,163,5,silent_wrong_output,integrity_check_abort
19,273,7,silent_wrong_output,integrity_check_abort
20,200,3,silent_wrong_output,integrity_check_abort
22,506,1,silent_wrong_output,integrity_check_abort
24,576,3,silent_wrong_output,integrity_check_abort
25,656,0,silent_wrong_output,integrity_check_abort
29,460,4,silent_wrong_output,integrity_check_abort
30,579,3,silent_wrong_output,integrity_check_abort
32,659,4,silent_wrong_output,integrity_check_abort
33,291,4,silent_wrong_output,integrity_check_abort
34,90,6,silent_wrong_output,integrity_check_abort
35,633,3,silent_wrong_output,integrity_check_abort
36,326,3,silent_wrong_output,integrity_check_abort
44,629,2,silent_wrong_output,integrity_check_abort
48,383,4,silent_wrong_output,integrity_check_abort
49,654,4,silent_wrong_output,integrity_check_abort
53,520,5,silent_wrong_output,integrity_check_abort
54,232,4,silent_wrong_output,integrity_check_abort
58,436,7,silent_wrong_output,integrity_check_abort
60,302,0,silent_wrong_output,integrity_check_abort
61,578,6,silent_wrong_output,integrity_check_abort
65,456,4,silent_wrong_output,integrity_check_abort
67,429,1,silent_wrong_output,integrity_check_abort
70,246,5,silent_wrong_output,integrity_check_abort
71,361,4,silent_wrong_output,integrity_check_abort
75,155,1,silent_wrong_output,integrity_check_abort
78,146,7,silent_wrong_output,integrity_check_abort
81,30,1,silent_wrong_output,integrity_check_abort
83,424,0,silent_wrong_output,integrity_check_abort
85,714,3,silent_wrong_output,integrity_check_abort
88,721,5,silent_wrong_output,integrity_check_abort
90,74,5,silent_wrong_output,integrity_check_abort
91,273,7,silent_wrong_output,integrity_check_abort
94,747,6,silent_wrong_output,integrity_check_abort
102,416,4,silent_wrong_output,integrity_check_abort
103,58,1,silent_wrong_output,integrity_check_abort
111,555,1,silent_wrong_output,integrity_check_abort
112,595,6,silent_wrong_output,integrity_check_abort
113,582,1,silent_wrong_output,integrity_check_abort
116,386,7,silent_wrong_output,integrity_check_abort
126,71,7,silent_wrong_output,integrity_check_abort
127,464,1,silent_wrong_output,integrity_check_abort
129,143,1,silent_wrong_output,integrity_check_abort
130,284,0,silent_wrong_output,integrity_check_abort
132,122,6,silent_wrong_output,integrity_check_abort
136,475,0,silent_wrong_output,integrity_check_abort
139,587,4,silent_wrong_output,integrity_check_abort
142,405,0,silent_wrong_output,integrity_check_abort
143,518,7,silent_wrong_output,integrity_check_abort
149,631,2,silent_wrong_output,integrity_check_abort
150,443,7,silent_wrong_output,integrity_check_abort
152,278,2,silent_wrong_output,integrity_check_abort
155,748,6,silent_wrong_output,integrity_check_abort
156,49,0,silent_wrong_output,integrity_check_abort
157,647,6,silent_wrong_output,integrity_check_abort
161,462,5,silent_wrong_output,integrity_check_abort
162,685,1,silent_wrong_output,integrity_check_abort
164,90,2,silent_wrong_output,integrity_check_abort
165,678,4,silent_wrong_output,integrity_check_abort
167,762,5,silent_wrong_output,integrity_check_abort
168,84,0,silent_wrong_output,integrity_check_abort
171,546,6,silent_wrong_output,integrity_check_abort
172,575,7,silent_wrong_output,integrity_check_abort
173,570,4,silent_wrong_output,integrity_check_abort
182,33,2,silent_wrong_output,integrity_check_abort
184,251,4,silent_wrong_output,integrity_check_abort
185,692,4,silent_wrong_output,integrity_check_abort
187,451,2,silent_wrong_output,integrity_check_abort
188,698,5,silent_wrong_output,integrity_check_abort
195,126,0,silent_wrong_output,integrity_check_abort
202,328,3,silent_wrong_output,integrity_check_abort
207,195,3,silent_wrong_output,integrity_check_abort
209,463,4,silent_wrong_output,integrity_check_abort
211,56,3,silent_wrong_output,integrity_check_abort
214,286,3,silent_wrong_output,integrity_check_abort
221,374,2,silent_wrong_output,integrity_check_abort
222,265,5,silent_wrong_output,integrity_check_abort
230,676,4,silent_wrong_output,integrity_check_abort
233,58,4,silent_wrong_output,integrity_check_abort
238,218,6,silent_wrong_output,integrity_check_abort
239,191,1,silent_wrong_output,integrity_check_abort
241,102,2,silent_wrong_output,integrity_check_abort
242,337,6,silent_wrong_output,integrity_check_abort
243,499,7,silent_wrong_output,integrity_check_abort
244,434,3,silent_wrong_output,integrity_check_abort
245,326,3,silent_wrong_output,integrity_check_abort
246,416,2,silent_wrong_output,integrity_check_abort
250,553,5,silent_wrong_output,integrity_check_abort
253,325,5,silent_wrong_output,integrity_check_abort
254,693,4,silent_wrong_output,integrity_check_abort
258,736,7,silent_wrong_output,integrity_check_abort
261,433,4,silent_wrong_output,integrity_check_abort
263,100,0,silent_wrong_output,integrity_check_abort
264,415,3,silent_wrong_output,integrity_check_abort
265,523,0,silent_wrong_output,integrity_check_abort
266,49,3,silent_wrong_output,integrity_check_abort
269,425,3,silent_wrong_output,integrity_check_abort
270,590,6,silent_wrong_output,integrity_check_abort
272,105,2,silent_wrong_output,integrity_check_abort
273,302,6,silent_wrong_output,integrity_check_abort
279,389,6,silent_wrong_output,integrity_check_abort
281,633,7,silent_wrong_output,integrity_check_abort
285,346,1,silent_wrong_output,integrity_check_abort
286,180,6,silent_wrong_output,integrity_check_abort
290,354,1,silent_wrong_output,integrity_check_abort
291,101,3,silent_wrong_output,integrity_check_abort
295,329,0,silent_wrong_output,integrity_check_abort
297,535,2,silent_wrong_output,integrity_check_abort
301,115,1,silent_wrong_output,integrity_check_abort
303,670,3,silent_wrong_output,integrity_check_abort
306,68,2,silent_wrong_output,integrity_check_abort
309,24,0,silent_wrong_output,integrity_check_abort
311,178,4,silent_wrong_output,integrity_check_abort
319,603,6,silent_wrong_output,integrity_check_abort
322,226,3,silent_wrong_output,integrity_check_abort
323,530,6,silent_wrong_output,integrity_check_abort
324,223,4,silent_wrong_output,integrity_check_abort
325,457,3,silent_wrong_output,integrity_check_abort
326,757,4,silent_wrong_output,integrity_check_abort
329,626,2,silent_wrong_output,integrity_check_abort
331,587,2,silent_wrong_output,integrity_check_abort
332,348,6,silent_wrong_output,integrity_check_abort
334,27,3,silent_wrong_output,integrity_check_abort
335,82,3,silent_wrong_output,integrity_check_abort
337,190,2,silent_wrong_output,integrity_check_abort
339,481,7,silent_wrong_output,integrity_check_abort
346,523,4,silent_wrong_output,integrity_check_abort
347,273,4,silent_wrong_output,integrity_check_abort
348,406,5,silent_wrong_output,integrity_check_abort
349,178,4,silent_wrong_output,integrity_check_abort
352,20,4,silent_wrong_output,integrity_check_abort
355,107,5,silent_wrong_output,integrity_check_abort
356,8,3,silent_wrong_output,integrity_check_abort
357,151,2,silent_wrong_output,integrity_check_abort
359,87,4,silent_wrong_output,integrity_check_abort
361,669,3,silent_wrong_output,integrity_check_abort
362,130,4,silent_wrong_output,integrity_check_abort
364,85,5,silent_wrong_output,integrity_check_abort
366,164,4,silent_wrong_output,integrity_check_abort
367,199,7,silent_wrong_output,integrity_check_abort
368,438,4,silent_wrong_output,integrity_check_abort
371,317,7,silent_wrong_output,integrity_check_abort
374,211,4,silent_wrong_output,integrity_check_abort
377,31,2,silent_wrong_output,integrity_check_abort
380,565,0,silent_wrong_output,integrity_check_abort
382,740,4,silent_wrong_output,integrity_check_abort
383,651,6,silent_wrong_output,integrity_check_abort
384,192,7,silent_wrong_output,integrity_check_abort
385,620,4,silent_wrong_output,integrity_check_abort
386,727,2,silent_wrong_output,integrity_check_abort
387,335,2,silent_wrong_output,integrity_check_abort
388,156,6,silent_wrong_output,integrity_check_abort
389,490,4,silent_wrong_output,integrity_check_abort
391,76,7,silent_wrong_output,integrity_check_abort
392,342,3,silent_wrong_output,integrity_check_abort
393,247,2,silent_wrong_output,integrity_check_abort
395,581,5,silent_wrong_output,integrity_check_abort
396,340,1,silent_wrong_output,integrity_check_abort
397,713,6,silent_wrong_output,integrity_check_abort
400,243,4,silent_wrong_output,integrity_check_abort
402,113,6,silent_wrong_output,integrity_check_abort
403,54,7,silent_wrong_output,integrity_check_abort
404,447,3,silent_wrong_output,integrity_check_abort
406,604,0,silent_wrong_output,integrity_check_abort
407,528,2,silent_wrong_output,integrity_check_abort
409,443,2,silent_wrong_output,integrity_check_abort
410,717,7,silent_wrong_output,integrity_check_abort
411,132,7,silent_wrong_output,integrity_check_abort
413,403,3,silent_wrong_output,integrity_check_abort
414,306,4,silent_wrong_output,integrity_check_abort
416,556,3,silent_wrong_output,integrity_check_abort
418,259,7,silent_wrong_output,integrity_check_abort
421,212,1,silent_wrong_output,integrity_check_abort
425,10,1,silent_wrong_output,integrity_check_abort
431,536,6,silent_wrong_output,integrity_check_abort
433,166,4,silent_wrong_output,integrity_check_abort
434,435,5,silent_wrong_output,integrity_check_abort
436,412,3,silent_wrong_output,integrity_check_abort
437,119,6,silent_wrong_output,integrity_check_abort
441,77,4,silent_wrong_output,integrity_check_abort
442,462,6,silent_wrong_output,integrity_check_abort
443,731,3,silent_wrong_output,integrity_check_abort
448,34,0,silent_wrong_output,integrity_check_abort
451,230,1,silent_wrong_output,integrity_check_abort
453,422,3,silent_wrong_output,integrity_check_abort
454,734,3,silent_wrong_output,integrity_check_abort
455,333,7,silent_wrong_output,integrity_check_abort
456,357,3,silent_wrong_output,integrity_check_abort
457,227,6,silent_wrong_output,integrity_check_abort
460,573,6,silent_wrong_output,integrity_check_abort
466,419,2,silent_wrong_output,integrity_check_abort
470,370,0,silent_wrong_output,integrity_check_abort
471,731,0,silent_wrong_output,integrity_check_abort
475,225,5,silent_wrong_output,integrity_check_abort
476,285,3,silent_wrong_output,integrity_check_abort
478,482,2,silent_wrong_output,integrity_check_abort
479,677,4,silent_wrong_output,integrity_check_abort
483,163,2,silent_wrong_output,integrity_check_abort
484,595,7,silent_wrong_output,integrity_check_abort
488,415,0,silent_wrong_output,integrity_check_abort
490,334,2,silent_wrong_output,integrity_check_abort
497,122,5,silent_wrong_output,integrity_check_abort
502,261,3,silent_wrong_output,integrity_check_abort
503,549,1,silent_wrong_output,integrity_check_abort
504,36,0,silent_wrong_output,integrity_check_abort
506,361,3,silent_wrong_output,integrity_check_abort
507,28,1,silent_wrong_output,integrity_check_abort
509,395,7,silent_wrong_output,integrity_check_abort
512,545,7,silent_wrong_output,integrity_check_abort
513,284,2,silent_wrong_output,integrity_check_abort
516,549,5,silent_wrong_output,integrity_check_abort
518,496,7,silent_wrong_output,integrity_check_abort
519,235,0,silent_wrong_output,integrity_check_abort
520,528,3,silent_wrong_output,integrity_check_abort
522,286,5,silent_wrong_output,integrity_check_abort
523,536,7,silent_wrong_output,integrity_check_abort
524,139,4,silent_wrong_output,integrity_check_abort
526,194,0,silent_wrong_output,integrity_check_abort
529,386,2,silent_wrong_output,integrity_check_abort
532,549,0,silent_wrong_output,integrity_check_abort
536,374,0,silent_wrong_output,integrity_check_abort
537,649,6,silent_wrong_output,integrity_check_abort
539,529,3,silent_wrong_output,integrity_check_abort
540,166,2,silent_wrong_output,integrity_check_abort
543,138,5,silent_wrong_output,integrity_check_abort
544,539,7,silent_wrong_output,integrity_check_abort
545,587,6,silent_wrong_output,integrity_check_abort
547,642,4,silent_wrong_output,integrity_check_abort
548,10,4,silent_wrong_output,integrity_check_abort
549,267,4,silent_wrong_output,integrity_check_abort
550,608,7,silent_wrong_output,integrity_check_abort
552,762,2,silent_wrong_output,integrity_check_abort
555,725,0,silent_wrong_output,integrity_check_abort
563,23,7,silent_wrong_output,integrity_check_abort
573,578,7,silent_wrong_output,integrity_check_abort
575,598,3,silent_wrong_output,integrity_check_abort
578,666,1,silent_wrong_output,integrity_check_abort
579,95,7,silent_wrong_output,integrity_check_abort
580,419,0,silent_wrong_output,integrity_check_abort
