trial,aggressor_count,victim_offset,row_size_bytes,frr_pqc,frr_dnn
0,1,-1,1024,0.0,0.00390625
1,8,-2,4096,0.0,0.109375
2,4,1,1024,0.0,0.015625
3,2,1,4096,0.0,0.03125
4,2,-1,2048,0.0,0.015625
5,8,2,1024,0.0,0.03125
6,1,1,2048,0.0,0.0078125
7,4,-2,1024,0.0,0.015625
8,1,2,4096,0.0,0.015625
9,1,-2,1024,0.0,0.00390625
10,4,1,2048,0.0,0.03125
11,8,-1,1024,0.6274509803921569,0.03125
12,4,1,2048,0.0,0.03125
13,8,2,2048,0.5183823529411765,0.046875
14,4,1,1024,0.0,0.015625
15,8,1,4096,0.0,0.109375
16,4,2,1024,0.0,0.015625
17,1,1,1024,0.0,0.00390625
18,8,2,2048,0.0,0.0625
19,2,-1,1024,0.0,0.0078125
20,4,-2,2048,0.0,0.0234375
21,2,-2,4096,0.0,0.03125
22,1,1,1024,0.0,0.00390625
23,8,1,2048,0.0,0.0546875
24,8,-2,1024,0.0,0.03125
25,4,-2,1024,0.0,0.01171875
26,2,2,1024,0.0,0.0078125
27,8,1,1024,0.0,0.02734375
28,4,2,2048,0.0,0.03125
29,2,-2,4096,0.0,0.03125
30,2,-2,4096,0.0,0.03125
31,1,-1,1024,0.0,0.00390625
32,1,2,4096,0.0,0.015625
33,4,1,2048,0.0,0.03125
34,8,2,2048,0.0,0.0546875
35,1,-1,4096,0.0,0.015625
36,8,-1,2048,0.0,0.0625
37,8,1,1024,0.0,0.03125
38,2,2,2048,0.0,0.015625
39,4,-1,4096,0.0,0.0625
40,1,1,4096,0.0,0.015625
41,8,2,1024,0.0,0.03125
42,4,-1,4096,0.0,0.0625
43,2,2,1024,0.0,0.0078125
44,1,1,4096,0.0,0.0
45,8,2,1024,0.0,0.03125
46,2,-1,1024,0.0,0.0078125
47,8,1,4096,0.0,0.109375
48,4,-1,2048,0.0,0.03125
49,8,1,1024,0.0,0.03125
50,8,-1,1024,0.0,0.03125
51,1,1,1024,0.0,0.00390625
52,2,2,1024,0.0,0.0078125
53,2,-1,4096,0.0,0.015625
