arch,seed,attack,defense,clip_sigma,checksum_cov,top_k,sub_batch,budget,step,asr,accuracy,blocked,clipped
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,1,0.691333,0.308667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,2,0.724333,0.275667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,3,0.738,0.262,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,4,0.867,0.133,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,5,0.824667,0.175333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,6,0.71,0.29,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,7,0.869667,0.130333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,8,0.731333,0.268667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,9,0.843667,0.156333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,10,0.887333,0.112667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,11,0.887333,0.112667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,12,0.841667,0.158333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,13,0.789333,0.210667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,14,0.837667,0.162333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,15,0.874333,0.125667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,16,0.839667,0.160333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,17,0.749333,0.250667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,18,0.845333,0.154667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,19,0.749333,0.250667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,4,16,20,20,0.845333,0.154667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,1,0.748,0.252,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,2,0.887333,0.112667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,3,0.786667,0.213333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,4,0.79,0.21,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,5,0.722,0.278,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,6,0.808667,0.191333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,7,0.787667,0.212333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,8,0.896333,0.103667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,9,0.728333,0.271667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,10,0.848667,0.151333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,11,0.869667,0.130333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,12,0.796667,0.203333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,4,16,20,13,0.864,0.136,0,0
