arch,seed,attack,defense,clip_sigma,checksum_cov,top_k,sub_batch,budget,step,asr,accuracy,blocked,clipped
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,1,0.76,0.24,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,2,0.738333,0.261667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,3,0.895667,0.104333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,4,0.879667,0.120333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,5,0.898,0.102,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,6,0.900667,0.099333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,7,0.807333,0.192667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,8,0.804667,0.195333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,9,0.861,0.139,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,10,0.759333,0.240667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,11,0.854667,0.145333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,12,0.847333,0.152667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,13,0.869333,0.130667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,14,0.803667,0.196333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,15,15,0.842,0.158,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,1,0.706667,0.293333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,2,0.894333,0.105667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,3,0.899667,0.100333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,4,0.856333,0.143667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,5,0.773,0.227,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,6,0.745333,0.254667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,7,0.838333,0.161667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,8,0.851,0.149,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,9,0.819667,0.180333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,10,0.849667,0.150333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,11,0.856,0.144,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,12,0.812333,0.187667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,13,0.816333,0.183667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,14,0.906667,0.093333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,15,15,0.818,0.182,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,1,0.711667,0.288333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,2,0.705,0.295,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,3,0.791,0.209,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,4,0.767667,0.232333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,5,0.804,0.196,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,6,0.879333,0.120667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,7,0.863667,0.136333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,8,0.797667,0.202333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,9,0.881,0.119,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,10,0.892333,0.107667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,11,0.844333,0.155667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,12,0.818333,0.181667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,13,0.849333,0.150667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,14,0.816,0.184,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,15,15,0.843333,0.156667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,1,0.779333,0.220667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,2,0.796667,0.203333,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,3,0.803,0.197,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,4,0.891,0.109,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,5,0.837667,0.162333,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,6,0.876333,0.123667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,7,0.861333,0.138667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,8,0.800667,0.199333,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,9,0.866,0.134,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,10,0.782333,0.217667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,11,0.885,0.115,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,12,0.872,0.128,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,13,0.855333,0.144667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,14,0.81,0.19,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,15,15,0.842667,0.157333,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,1,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,2,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,3,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,4,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,5,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,6,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,7,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,8,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,9,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,10,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,11,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,12,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,13,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,14,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,15,15,0.905333,0.094667,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,1,0.755,0.245,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,2,0.866667,0.133333,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,3,0.837333,0.162667,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,4,0.867333,0.132667,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,5,0.817667,0.182333,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,6,0.825333,0.174667,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,7,0.799333,0.200667,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,8,0.818667,0.181333,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,9,0.806333,0.193667,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,10,0.844667,0.155333,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,11,0.749,0.251,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,12,0.825333,0.174667,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,13,0.842,0.158,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,14,0.774333,0.225667,0,0
smallcnn,5,pbs,undefended,1.0,0.5,8,32,15,15,0.883333,0.116667,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,1,0.827,0.173,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,2,0.898667,0.101333,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,3,0.804,0.196,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,4,0.831667,0.168333,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,5,0.846667,0.153333,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,6,0.841333,0.158667,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,7,0.902333,0.097667,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,8,0.837667,0.162333,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,9,0.846667,0.153333,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,10,0.847,0.153,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,11,0.847667,0.152333,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,12,0.851333,0.148667,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,13,0.825333,0.174667,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,14,0.852667,0.147333,0,0
smallcnn,6,pbs,undefended,1.0,0.5,8,32,15,15,0.884667,0.115333,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,1,0.899,0.101,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,2,0.905,0.095,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,3,0.899,0.101,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,4,0.905,0.095,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,5,0.899,0.101,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,6,0.905,0.095,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,7,0.899,0.101,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,8,0.905,0.095,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,9,0.899,0.101,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,10,0.905,0.095,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,11,0.899,0.101,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,12,0.905,0.095,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,13,0.899,0.101,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,14,0.905,0.095,0,0
smallcnn,7,pbs,undefended,1.0,0.5,8,32,15,15,0.899,0.101,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,1,0.827667,0.172333,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,2,0.889333,0.110667,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,3,0.828667,0.171333,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,4,0.861667,0.138333,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,5,0.880667,0.119333,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,6,0.875333,0.124667,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,7,0.877333,0.122667,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,8,0.887,0.113,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,9,0.876667,0.123333,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,10,0.887,0.113,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,11,0.872667,0.127333,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,12,0.893,0.107,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,13,0.841,0.159,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,14,0.885,0.115,0,0
smallcnn,8,pbs,undefended,1.0,0.5,8,32,15,15,0.863,0.137,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,1,0.677333,0.322667,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,2,0.719667,0.280333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,3,0.758,0.242,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,4,0.881667,0.118333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,5,0.865667,0.134333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,6,0.792333,0.207667,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,7,0.876,0.124,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,8,0.839667,0.160333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,9,0.834667,0.165333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,10,0.820667,0.179333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,11,0.851667,0.148333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,12,0.862667,0.137333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,13,0.826,0.174,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,14,0.835667,0.164333,0,0
smallcnn,9,pbs,undefended,1.0,0.5,8,32,15,15,0.871333,0.128667,0,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,1,0.680667,0.319333,7,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,2,0.652333,0.347667,5,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,3,0.650333,0.349667,6,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,4,0.652333,0.347667,6,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,5,0.650333,0.349667,6,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,6,0.652333,0.347667,6,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,7,0.650333,0.349667,6,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,8,0.652333,0.347667,6,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,9,0.650333,0.349667,6,0
smallcnn,0,pbs,checksum,1.0,0.5,8,32,15,10,0.652333,0.347667,6,0
