arch,seed,attack,defense,clip_sigma,checksum_cov,top_k,sub_batch,budget,step,asr,accuracy,blocked,clipped
resnet20,0,random,undefended,1.0,0.5,8,32,20,1,0.238667,0.761333,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,2,0.26,0.74,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,3,0.455667,0.544333,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,4,0.481333,0.518667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,5,0.665333,0.334667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,6,0.757667,0.242333,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,7,0.867333,0.132667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,8,0.873333,0.126667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,9,0.873,0.127,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,10,0.868667,0.131333,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,11,0.873333,0.126667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,12,0.794333,0.205667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,13,0.802333,0.197667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,14,0.799667,0.200333,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,15,0.824667,0.175333,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,16,0.837333,0.162667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,17,0.850333,0.149667,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,18,0.839667,0.160333,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,19,0.851,0.149,0,0
resnet20,0,random,undefended,1.0,0.5,8,32,20,20,0.875667,0.124333,0,0
resnet20,1,random,undefended,1.0,0.5,8,32,20,1,0.241,0.759,0,0
resnet20,1,random,undefended,1.0,0.5,8,32,20,2,0.244333,0.755667,0,0
resnet20,1,random,undefended,1.0,0.5,8,32,20,3,0.460667,0.539333,0,0
